Range : 2963,526,210,280
2963,696,100,10
3063,696,10,100
3063,796,100,10
3163,526,10,280

Range : 2492,2614,310,550
2492,3154,300,10
2792,2614,10,550

Range : 295,4446,500,410
295,4446,100,10
395,4446,10,100
395,4546,200,10
595,4546,10,100
595,4646,100,10
695,4646,10,200
695,4846,100,10

Range : 5163,3513,410,400
5163,3513,400,10
5563,3513,10,400

Range : 2172,3196,410,280
2172,3466,200,10
2372,3196,10,280
2372,3196,100,10
2472,3196,10,100
2472,3296,100,10
2572,3206,10,100

Range : 3765,4522,510,100
3765,4612,500,10
4265,4522,10,100

Range : 2074,3082,300,110
2074,3082,100,10
2174,3082,10,100
2174,3182,200,10

Range : 1487,4656,310,370
1487,4916,200,10
1687,4916,10,100
1687,5016,100,10
1787,4656,10,370

Range : 3547,1093,310,500
3547,1093,100,10
3647,1093,10,200
3647,1293,200,10
3847,1293,10,300

Range : 4225,2530,410,190
4225,2710,200,10
4425,2530,10,190
4425,2530,100,10
4525,2530,10,100
4525,2630,100,10
4625,2540,10,100

Range : 1427,2118,610,190
1427,2288,100,10
1527,2198,10,100
1527,2198,100,10
1627,2198,10,100
1627,2298,200,10
1827,2208,10,100
1827,2208,200,10
2027,2118,10,100

Range : 1492,3873,300,410
1492,3873,200,10
1692,3873,10,400
1692,4273,100,10

Range : 545,1921,500,190
545,2001,200,10
745,2001,10,100
745,2101,100,10
845,1921,10,190
845,1921,200,10

Range : 4921,3531,400,280
4921,3801,200,10
5121,3621,10,190
5121,3621,100,10
5221,3531,10,100
5221,3531,100,10

Range : 3698,4967,500,210
3698,5057,100,10
3798,4967,10,100
3798,4967,300,10
4098,4967,10,200
4098,5167,100,10

Range : 3072,2291,510,280
3072,2561,100,10
3172,2471,10,100
3172,2471,200,10
3372,2381,10,100
3372,2381,200,10
3572,2291,10,100

Range : 1023,3798,600,210
1023,3888,200,10
1223,3798,10,100
1223,3798,100,10
1323,3798,10,200
1323,3998,300,10

Range : 2912,924,400,110
2912,1014,100,10
3012,924,10,100
3012,924,100,10
3112,924,10,100
3112,1024,200,10

Range : 1009,4701,400,370
1009,4961,100,10
1109,4961,10,100
1109,5061,200,10
1309,4701,10,370
1309,4701,100,10

Range : 858,4804,410,110
858,4804,200,10
1058,4804,10,100
1058,4904,200,10
1258,4814,10,100

Range : 4605,767,300,610
4605,767,100,10
4705,767,10,300
4705,1067,100,10
4805,1067,10,300
4805,1367,100,10

Range : 2313,3277,410,370
2313,3637,300,10
2613,3277,10,370
2613,3277,100,10
2713,3277,10,100

Range : 769,5442,510,300
769,5442,100,10
869,5442,10,100
869,5542,300,10
1169,5542,10,100
1169,5642,100,10
1269,5642,10,100

Range : 2225,330,410,400
2225,330,100,10
2325,330,10,200
2325,530,100,10
2425,530,10,100
2425,630,200,10
2625,630,10,100

Range : 3328,1340,410,310
3328,1340,200,10
3528,1340,10,100
3528,1440,100,10
3628,1440,10,200
3628,1640,100,10
3728,1460,10,190

Range : 2073,3020,100,10
2073,3020,100,10

Range : 2401,5218,310,190
2401,5298,100,10
2501,5298,10,100
2501,5398,100,10
2601,5218,10,190
2601,5218,100,10
2701,5218,10,100

Range : 703,5201,510,210
703,5201,200,10
903,5201,10,100
903,5301,100,10
1003,5301,10,100
1003,5401,100,10
1103,5311,10,100
1103,5311,100,10
1203,5311,10,100

Range : 4053,470,300,510
4053,470,100,10
4153,470,10,100
4153,570,100,10
4253,570,10,400
4253,970,100,10

Range : 4434,2645,210,280
4434,2915,100,10
4534,2825,10,100
4534,2825,100,10
4634,2645,10,190

Range : 302,-139,310,460
302,311,200,10
502,41,10,280
502,41,100,10
602,-139,10,190

Range : 2072,1172,410,460
2072,1622,200,10
2272,1442,10,190
2272,1442,100,10
2372,1352,10,100
2372,1352,100,10
2472,1172,10,190

Range : 4033,3353,710,110
4033,3353,400,10
4433,3353,10,100
4433,3453,200,10
4633,3363,10,100
4633,3363,100,10
4733,3363,10,100

Range : 5012,1095,310,280
5012,1365,100,10
5112,1275,10,100
5112,1275,100,10
5212,1095,10,190
5212,1095,100,10
5312,1095,10,100

Range : 3691,3818,410,300
3691,3998,200,10
3891,3818,10,190
3891,3818,100,10
3991,3818,10,200
3991,4018,100,10
4091,4018,10,100

Range : 2719,4903,410,400
2719,4903,200,10
2919,4903,10,100
2919,5003,100,10
3019,5003,10,100
3019,5103,100,10
3119,5103,10,200

Range : 4936,2348,310,190
4936,2528,100,10
5036,2348,10,190
5036,2348,200,10
5236,2348,10,100

Range : 3565,4266,800,190
3565,4446,300,10
3865,4266,10,190
3865,4266,500,10

Range : 157,3942,310,280
157,4112,100,10
257,4112,10,100
257,4212,100,10
357,4122,10,100
357,4122,100,10
457,3942,10,190

Range : 815,1887,100,10
815,1887,100,10

Range : 4829,3814,200,100
4829,3904,100,10
4929,3814,10,100
4929,3814,100,10

Range : 1949,168,210,400
1949,258,100,10
2049,168,10,100
2049,168,100,10
2149,168,10,400

Range : 637,4153,510,210
637,4153,100,10
737,4153,10,100
737,4253,100,10
837,4253,10,100
837,4353,300,10
1137,4173,10,190

Range : 1590,3211,400,510
1590,3211,200,10
1790,3211,10,200
1790,3411,100,10
1890,3411,10,300
1890,3711,100,10

Range : 702,1540,400,190
702,1620,100,10
802,1620,10,100
802,1720,100,10
902,1630,10,100
902,1630,100,10
1002,1540,10,100
1002,1540,100,10

Range : 5079,4000,600,410
5079,4000,100,10
5179,4000,10,100
5179,4100,300,10
5479,4100,10,200
5479,4300,100,10
5579,4300,10,100
5579,4400,100,10

Range : 3216,4625,300,190
3216,4805,100,10
3316,4625,10,190
3316,4625,100,10
3416,4625,10,100
3416,4725,100,10

Range : 833,3889,410,190
833,4059,100,10
933,3969,10,100
933,3969,200,10
1133,3969,10,100
1133,4069,100,10
1233,3889,10,190

Range : 4249,2847,200,110
4249,2847,100,10
4349,2847,10,100
4349,2947,100,10

Range : 854,1805,110,100
854,1805,100,10
954,1805,10,100

